show_id,streaming_service,type,title,director,cast,country,country1,country2,country3,country4,country5,country6,date_added,release_year,rating,movie_runtime,number_of_seasons,listed_in,category1,category2,category3,category4,category5
66,Amazon Prime,TV Show,Wotakoi: Love is Hard for Otaku,,"Arisa Date, Kent Ito, Miyuki Sawashiro, Tomokazu Sugita, Yuki Kaji",,,,,,,,,2018,TV-NR,,1,TV Shows,TV Shows,,,,
67,Amazon Prime,TV Show,World’s Toughest Race: Eco-Challenge Fiji,,Bear Grylls,United States,United States,,,,,,,2020,13+,,1,Unscripted,Unscripted,,,,
68,Amazon Prime,TV Show,World War II: When Lions Roared,,"Michael Caine, John Lithgow, Bob Hoskins",,,,,,,,,1994,TV-14,,1,Drama,Drama,,,,
69,Amazon Prime,Movie,World War II: Saving the Reality,Tim Gray,Dan Aykroyd,,,,,,,,,2012,,56,,Documentary,Documentary,,,,
70,Amazon Prime,TV Show,World War 2 - The Call of Duty: A Complete Timeline,,Liam Dale,,,,,,,,,2020,13+,,1,"Documentary, Military and War",Documentary,Military and War,,,
71,Amazon Prime,Movie,World Inferno Friendship Society,Baeble Music,,,,,,,,,,2007,NR,40,,Music Videos and Concerts,Music Videos and Concerts,,,,
72,Amazon Prime,TV Show,World Food Championships,,Tiffany Derry,,,,,,,,,2014,TV-PG,,1,TV Shows,TV Shows,,,,
73,Amazon Prime,TV Show,WordWorld,,,,,,,,,,,2007,TV-G,,1,Kids,Kids,,,,
74,Amazon Prime,Movie,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",,,,,,,,,2020,PG-13,111,,Drama,Drama,,,,
75,Amazon Prime,TV Show,WordGirl,,,,,,,,,,,2010,TV-G,,1,Kids,Kids,,,,
76,Amazon Prime,TV Show,Wonders of Mexico,,Anthony Mendez,,,,,,,,,2018,TV-G,,1,"Documentary, Special Interest",Documentary,Special Interest,,,
77,Amazon Prime,Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,Cannis Holder,,,,,,,,,,2019,ALL,33,,Kids,Kids,,,,
78,Amazon Prime,Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,Cannis Holder,,,,,,,,,,2019,ALL,34,,Kids,Kids,,,,
79,Amazon Prime,TV Show,Wonder Balls,,,,,,,,,,,2015,ALL,,1,"Animation, Kids",Animation,Kids,,,
80,Amazon Prime,Movie,Women of Valor,Buzz Kulik,"Susan Sarandon, Kristy McNichol, Terry O'Quinn",,,,,,,,,1986,16+,95,,"Action, Drama",Action,Drama,,,
81,Amazon Prime,Movie,Woman Of Desire,Robert Ginty,"Jeff Fahey, Bo Derek",,,,,,,,,1994,R,99,,"Drama, Suspense",Drama,Suspense,,,
82,Amazon Prime,Movie,Woke Up Like This,John Elbert Ferrer,"Vhong Navarro, Lovi Poe",,,,,,,,,2017,13+,104,,Comedy,Comedy,,,,
83,Amazon Prime,Movie,"Wizard of Loneliness, The",Jenny Bowen,"Lukas Haas, Lea Thompson",,,,,,,,,1988,PG-13,111,,Drama,Drama,,,,
84,Amazon Prime,Movie,Within Our Gates,Oscar Micheaux,"Evelyn Preer, Flo Clements",,,,,,,,,1920,13+,78,,Drama,Drama,,,,
85,Amazon Prime,TV Show,Wishenpoof,,"Addison Holley, Hope Cassandra, Scott McCord, Katie Griffin, Ethan Tavares, Devan Cohen, Roanna Cochrane, Millie Davis, Jason Priestley, Saara Chaudry, Kyle Lomas, Ava Priestley, Johnny Orlando, Kathy Laskey, Matthew MacFadzean, TJ McGibbon, Elizabeth Hanna, Caissie Levy, Ava Close, Nissae Isen, Jeff Geddis, Kristin Fairlie",United States,United States,,,,,,,2019,ALL,,4,Kids,Kids,,,,
86,Amazon Prime,TV Show,Wisconsin Unexplained,,Michael Butt,,,,,,,,,2018,16+,,1,TV Shows,TV Shows,,,,
87,Amazon Prime,TV Show,Wipeout Canada,,"Ennis Esmer, Jonathan Torrens, Jessica Phillips",,,,,,,,,2011,ALL,,1,"Comedy, Documentary, Unscripted",Comedy,Documentary,Unscripted,,
88,Amazon Prime,TV Show,Wipeout Australia,,"James Brayshaw, Josh Lawson, Kelly Landry",,,,,,,,,2009,7+,,1,"Comedy, Documentary, Unscripted",Comedy,Documentary,Unscripted,,
89,Amazon Prime,Movie,Winterset,Alfred Santell,"Burgess Meredith, Eduordo Ciannelli",,,,,,,,,1936,NR,77,,"Action, Drama",Action,Drama,,,
90,Amazon Prime,Movie,Winds Of The Wasteland,Mack V. Wright,"John Wayne, Phyllis Fraser, Lew Kelly, Douglas Cosgrove, Lane Chandler, Sam Flint, Bob Kortman, Ed Cassidy, Jon Hall, Merrill McCormick, Christian J. Frank, Jack Rockwell, Arthur Millett, Tracy Layne, Yakima Canutt, Horace B. Carpenter, Herman Hack, Henry Hall, Lloyd Ingraham, Jack Ingram, Cliff Lyons, Murdock MacQuarrie, Clyde McClary, Bud McClure, Art Mix, George Morrell, Bud Pope, Francis Walker, Joe Yrigoyen",,,,,,,,,1936,13+,55,,Western,Western,,,,
91,Amazon Prime,Movie,Wind,Carroll Ballard,"Matthew Modine, Jennifer Grey, Cliff Robertson, Jack Thompson, Stellan Skarsgård, Rebecca Miller, Ned Vaughn, James Rebhorn, Ron Palillo",,,,,,,,,1992,PG-13,126,,"Action, Drama, Sports",Action,Drama,Sports,,
92,Amazon Prime,Movie,William the Conqueror,Frederic Compain,,,,,,,,,,2015,13+,53,,"Documentary, Special Interest",Documentary,Special Interest,,,
93,Amazon Prime,Movie,William Tecumseh Sherman: Beyond the March to the Sea,Jonathan Chase Cook,Jonathan Chase Cook,,,,,,,,,2019,13+,115,,"Documentary, Special Interest",Documentary,Special Interest,,,
94,Amazon Prime,Movie,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,Brandon Jones,William Lee Martin,,,,,,,,,2019,16+,55,,"Arts, Entertainment, and Culture, Comedy",Arts,Entertainment,and Culture,Comedy,
95,Amazon Prime,Movie,William Lee Martin: Standing in the Middle,Brandon Jones,William Lee Martin,,,,,,,,,2019,18+,58,,"Arts, Entertainment, and Culture, Comedy, Special Interest",Arts,Entertainment,and Culture,Comedy,Special Interest
96,Amazon Prime,Movie,William and Kate: Into the Future,Alan Scales,"Prince William, Kate Middleton",,,,,,,,,2011,ALL,49,,"Documentary, International, Special Interest",Documentary,International,Special Interest,,
97,Amazon Prime,Movie,Wildlike,Frank Hall Green,"Bruce Greenwood, Ella Purnell, Brian Geraghty",,,,,,,,,2021,16+,104,,"Action, Drama",Action,Drama,,,
98,Amazon Prime,Movie,Wildfire 7,Jason Bourque,"Tracey Gold, Alexander Walters",,,,,,,,,2002,,95,,"Action, Drama",Action,Drama,,,
99,Amazon Prime,TV Show,Wildest Places,,,,,,,,,,,2019,ALL,,3,"Documentary, Special Interest",Documentary,Special Interest,,,
100,Amazon Prime,Movie,Wilder Napalm,Glenn Gordon Caron,"Debra Winger, Dennis Quaid, Arliss Howard, M. Emmet Walsh, Jim Varney",,,,,,,,,1993,PG-13,109,,"Comedy, Science Fiction",Comedy,Science Fiction,,,
101,Amazon Prime,TV Show,Wild North,,,,,,,,,,,2014,7+,,1,"Documentary, Special Interest",Documentary,Special Interest,,,
102,Amazon Prime,TV Show,Wild Kratts,,"Chris Kratt, Martin Kratt, Athena Karkanis, Jonathan Malen, Heather Bambrick, Zachary Bennett, Eva Almos, Cory Doran, Gavin Kratt, Aidan Kratt, Ronan Kratt, Addison Holley, Maya Lowe, Paige Roughely, Emilia McCarthy, Zoe Fraser, Rachel Marcus, Nolan Kratt, Julie Lemieux, Amariah Faulkner, Christian Martyn, Jacob Ewaniuk, Jaclyn Forbes, Ian Hanson, Aiden Kratt, Charles Vandervaart, Jenna Warren",,,,,,,,,2011,TV-Y,,1,Kids,Kids,,,,
103,Amazon Prime,Movie,Wild Geese,Andrew V. McLaglen,"Richard Burton, Roger Moore, Richard Harris",,,,,,,,,2012,18+,135,,Action,Action,,,,
104,Amazon Prime,Movie,Wild Colombia Revealed,Mike Slee,,,,,,,,,,2016,7+,91,,"Documentary, Special Interest",Documentary,Special Interest,,,
105,Amazon Prime,TV Show,Wild Boys,,"Daniel MacPherson, Michael Dorman, Alexander England, Zoe Ventoura, Anna Hutchison, Jeremy Sims, Nathaniel Dean, David Field, Caroline Brazier, Krew Boylan",,,,,,,,,2011,13+,,1,"Drama, Western",Drama,Western,,,
