Title,Genre,Premiere,Runtime,IMDB Score,Language,Language1,Language2,Language3
True Memoirs of an International Assassin,Action comedy,2016-11-11,98,5.9,English,English,,
The Ivory Game,Documentary,2016-11-04,112,7.9,English,English,,
I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,English,,
7 años,Drama,2016-10-28,76,6.8,Spanish,Spanish,,
Into the Inferno,Documentary,2016-10-28,107,7.2,English,English,,
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin,English,Mandarin,
Mascots,Mockumentary,2016-10-13,95,5.8,English,English,,
Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90,7.7,English,English,,
The Siege of Jadotville,War,2016-10-07,108,7.2,English,English,,
13th,Documentary,2016-10-07,100,8.2,English,English,,
Amanda Knox,Documentary,2016-09-30,92,6.9,English,English,,
Audrie & Daisy,Documentary,2016-09-23,98,7.2,English,English,,
ARQ,Science fiction/Thriller,2016-09-16,88,6.4,English,English,,
The White Helmets,Documentary,2016-09-16,40,7.5,English,English,,
Extremis,Documentary,2016-09-13,24,7.3,English,English,,
XOXO,Drama,2016-08-26,92,5.3,English,English,,
I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,English,,
Tallulah,Comedy-drama,2016-07-29,111,6.7,English,English,,
Rebirth,Thriller,2016-07-15,100,5,English,English,,
Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116,6.7,English,English,,
Brahman Naman,Comedy,2016-07-07,95,5.6,English,English,,
The Fundamentals of Caring,Comedy-drama,2016-06-24,97,7.3,English,English,,
The Do-Over,Action comedy,2016-05-27,108,5.7,English,English,,
Special Correspondents,Satire,2016-04-29,100,5.8,English,English,,
Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian,English,Russian,
Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English,English,,
My Beautiful Broken Brain,Documentary,2016-03-18,91,7.1,English,English,,
The Ridiculous 6,Western,2015-12-11,119,4.8,English,English,,
A Very Murray Christmas,Comedy / Musical,2015-12-04,56,5.5,English,English,,
Beasts of No Nation,War drama,2015-10-16,136,7.7,English/Akan,English,Akan,
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,English,Ukranian,Russian
Keith Richards: Under the Influence,Documentary,2015-09-18,81,7.1,English,English,,
Tig,Documentary,2015-07-17,80,7.4,English,English,,
"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,English,,
Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,English,,
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English,English,,
My Own Man,Documentary,2014-12-13,81,6.4,English,English,,
